# C API BDB, optimize: LEAF 512 NON-LEAF 256 BUCKET-SIZE 10000000 REC-ALIGN 4 FREE-POOL 10 OPTS LARGE mode: REPLACE xmsize: 0
Run TotalRecords WallTime
1 0 0.0000
1 1000000 3.1816
1 2000000 5.0866
1 3000000 7.1548
1 4000000 19.0642
1 5000000 11.4729
1 6000000 11.3162
1 7000000 10.8685
1 8000000 33.3199
1 9000000 32.5168
1 10000000 52.8884
2 0 0.0000
2 1000000 3.2427
2 2000000 5.0901
2 3000000 7.2909
2 4000000 8.6717
2 5000000 12.1241
2 6000000 16.5381
2 7000000 17.1559
2 8000000 21.3303
2 9000000 13.0944
2 10000000 19.1051
3 0 0.0000
3 1000000 3.2617
3 2000000 6.1484
3 3000000 7.8258
3 4000000 22.8016
3 5000000 12.7774
3 6000000 16.9677
3 7000000 12.8456
3 8000000 15.3875
3 9000000 20.7077
3 10000000 49.8235
4 0 0.0000
4 1000000 3.2464
4 2000000 5.1701
4 3000000 7.4248
4 4000000 8.3915
4 5000000 17.5585
4 6000000 27.3080
4 7000000 10.9962
4 8000000 21.9288
4 9000000 12.4720
4 10000000 50.8390
5 0 0.0000
5 1000000 3.2839
5 2000000 5.0261
5 3000000 7.5189
5 4000000 17.4164
5 5000000 11.5938
5 6000000 11.5192
5 7000000 25.8541
5 8000000 14.1935
5 9000000 14.3074
5 10000000 50.5463
6 0 0.0000
6 1000000 3.1347
6 2000000 5.0335
6 3000000 6.6143
6 4000000 11.0503
6 5000000 17.6166
6 6000000 11.1785
6 7000000 24.4450
6 8000000 17.7240
6 9000000 16.5711
6 10000000 46.5047
7 0 0.0000
7 1000000 3.2248
7 2000000 5.1821
7 3000000 7.3987
7 4000000 8.6000
7 5000000 18.1635
7 6000000 14.8172
7 7000000 15.7749
7 8000000 14.8085
7 9000000 25.4293
7 10000000 18.0152
