# TC-BDB, element-type: (UNSIGNED-BYTE 8), optimize? (LEAF 512 NON-LEAF 256 BUCKET-SIZE 10000000 REC-ALIGN 4 FREE-POOL 10 OPTS (LARGE)) mode: REPLACE xmsize: NIL
Run TotalRecords WallTime CPUTime
1 0 0.0000 0.0000
1 1000000 5.4090 5.0370
1 2000000 7.1190 6.9150
1 3000000 9.3620 8.1510
1 4000000 12.8030 9.2130
1 5000000 16.8200 9.9320
1 6000000 13.0070 10.7560
1 7000000 27.5830 11.5330
1 8000000 16.8250 12.2110
1 9000000 16.9400 12.8830
1 10000000 77.7060 14.5240
2 0 0.0000 0.0000
2 1000000 5.2290 5.0320
2 2000000 7.1550 6.9120
2 3000000 9.4590 8.1640
2 4000000 17.1830 9.1800
2 5000000 15.3980 9.9390
2 6000000 13.6040 10.7820
2 7000000 21.1390 11.4240
2 8000000 24.8110 12.2800
2 9000000 22.6010 13.0670
2 10000000 35.5040 13.9330
3 0 0.0000 0.0000
3 1000000 5.0890 4.9990
3 2000000 7.1990 6.9460
3 3000000 9.8860 8.2360
3 4000000 12.5410 9.1790
3 5000000 22.2510 10.0110
3 6000000 16.9540 10.7210
3 7000000 18.6060 11.3910
3 8000000 21.7070 12.2440
3 9000000 21.6530 13.0940
3 10000000 43.6280 14.4460
4 0 0.0000 0.0000
4 1000000 5.2690 4.9980
4 2000000 7.4220 6.9510
4 3000000 9.4850 8.1950
4 4000000 11.2220 9.0680
4 5000000 15.9240 9.9840
4 6000000 19.4080 10.6670
4 7000000 37.9770 12.9220
4 8000000 13.4800 12.1370
4 9000000 27.9170 13.1060
4 10000000 70.0520 14.4620
5 0 0.0000 0.0000
5 1000000 7.3110 5.0460
5 2000000 7.3680 6.9690
5 3000000 9.7890 8.3010
5 4000000 11.1880 9.1990
5 5000000 15.7490 10.0860
5 6000000 33.7770 12.1510
5 7000000 15.1560 11.4020
5 8000000 15.5680 12.2770
5 9000000 15.8000 12.9530
5 10000000 49.7600 18.7220
6 0 0.0000 0.0000
6 1000000 5.3670 5.0320
6 2000000 10.7010 6.9860
6 3000000 9.5890 8.2090
6 4000000 10.6010 9.0720
6 5000000 25.6750 10.8130
6 6000000 12.2050 10.7690
6 7000000 22.9940 11.7390
6 8000000 21.6460 12.2330
6 9000000 21.6460 12.9120
6 10000000 24.1840 14.0380
7 0 0.0000 0.0000
7 1000000 5.0790 4.9990
7 2000000 7.0410 6.8710
7 3000000 9.5410 8.1640
7 4000000 17.0750 9.0940
7 5000000 15.4650 9.9610
7 6000000 17.4890 10.7680
7 7000000 14.9710 11.9530
7 8000000 45.9200 14.3320
7 9000000 39.7610 16.2840
7 10000000 48.7330 17.1040
